Date,Open,High,Low,Close,Adj Close,Volume
2014-06-06,251.500000,254.500000,247.649994,253.824997,226.623901,428808
2014-06-09,254.000000,257.950012,252.600006,255.425003,228.052444,297852
2014-06-10,256.500000,262.975006,256.350006,262.399994,234.279984,567960
2014-06-11,263.850006,268.500000,261.875000,263.475006,235.239761,739364
2014-06-12,267.350006,267.350006,261.350006,265.325012,236.891495,300362
2014-06-13,267.000000,267.399994,262.000000,264.500000,236.154953,305764
2014-06-16,265.750000,270.000000,264.625000,267.700012,239.012024,337880
2014-06-17,268.500000,271.000000,266.899994,268.000000,239.279846,224022
2014-06-18,268.500000,269.750000,264.399994,265.299988,236.869186,236420
2014-06-19,265.500000,269.899994,263.500000,268.625000,239.837891,268812
2014-06-20,270.000000,271.399994,265.975006,268.174988,239.436111,203812
2014-06-23,269.500000,269.500000,264.774994,265.674988,237.203979,181544
2014-06-24,266.049988,266.649994,263.674988,265.649994,237.181686,150916
2014-06-25,265.850006,266.899994,262.750000,264.200012,235.887100,296786
2014-06-26,264.500000,269.424988,264.500000,267.825012,239.123611,240226
2014-06-27,268.524994,274.399994,268.475006,272.924988,248.312790,415284
2014-06-30,275.000000,276.700012,271.000000,272.475006,247.903381,245572
2014-07-01,273.500000,273.500000,268.424988,269.325012,245.037476,176240
2014-07-02,270.500000,274.250000,269.399994,270.825012,246.402161,260358
2014-07-03,272.825012,278.750000,272.774994,277.799988,252.748154,214146
2014-07-04,279.500000,280.000000,272.000000,273.750000,249.063400,224482
2014-07-07,274.750000,279.450012,274.600006,278.850006,253.703491,213646
2014-07-08,280.000000,280.000000,274.000000,275.325012,250.496353,224072
2014-07-09,275.000000,277.325012,270.450012,271.549988,247.061768,271064
2014-07-10,273.000000,279.000000,270.049988,272.399994,247.835159,308850
2014-07-11,277.000000,278.000000,273.700012,276.274994,251.360687,287280
2014-07-14,277.450012,277.450012,268.924988,270.225006,245.856293,166908
2014-07-15,269.500000,271.424988,267.500000,268.625000,244.400558,163038
